#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h37 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORTX35;NORTR;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;RCP4.5;H1;6.98;57;
281;41.4149;9.0628;RCP4.5;H1;6.83;55;
282;41.4087;9.1577;RCP4.5;H1;6.27;53;
283;41.4025;9.2527;RCP4.5;H1;6.98;55;
422;41.4985;8.8808;RCP4.5;H1;7.2;54;
423;41.4925;8.9759;RCP4.5;H1;6.79;52;
424;41.4864;9.071;RCP4.5;H1;6.5;54;
425;41.4802;9.166;RCP4.5;H1;6.05;52;
426;41.4739;9.261;RCP4.5;H1;6.68;54;
564;41.5759;8.7935;RCP4.5;H1;1.44;45;
565;41.57;8.8888;RCP4.5;H1;1.36;45;
566;41.564;8.984;RCP4.5;H1;1.92;44;
567;41.5579;9.0791;RCP4.5;H1;4.02;43;
568;41.5517;9.1743;RCP4.5;H1;5.95;52;
569;41.5454;9.2694;RCP4.5;H1;7.15;55;
707;41.6474;8.8014;RCP4.5;H1;1.73;44;
708;41.6415;8.8967;RCP4.5;H1;1.89;44;
709;41.6355;8.992;RCP4.5;H1;2.35;44;
710;41.6294;9.0873;RCP4.5;H1;4.73;44;
711;41.6232;9.1826;RCP4.5;H1;4.72;43;
712;41.6169;9.2779;RCP4.5;H1;3.42;62;
849;41.7248;8.7138;RCP4.5;H1;1.42;44;
850;41.719;8.8093;RCP4.5;H1;1.42;44;
851;41.713;8.9047;RCP4.5;H1;2.46;42;
852;41.707;9.0001;RCP4.5;H1;5.32;44;
853;41.7009;9.0955;RCP4.5;H1;5.06;43;
854;41.6946;9.1909;RCP4.5;H1;1.65;38;
855;41.6884;9.2863;RCP4.5;H1;4.12;54;
856;41.682;9.3817;RCP4.5;H1;3.58;62;
992;41.7963;8.7216;RCP4.5;H1;1.29;44;
993;41.7905;8.8171;RCP4.5;H1;2.08;40;
994;41.7845;8.9127;RCP4.5;H1;4.55;46;
995;41.7785;9.0083;RCP4.5;H1;1.4;36;
996;41.7724;9.1038;RCP4.5;H1;0.63;32;
997;41.7661;9.1993;RCP4.5;H1;0.35;31;
998;41.7598;9.2948;RCP4.5;H1;3.21;39;
999;41.7535;9.3902;RCP4.5;H1;3.7;60;
1134;41.8737;8.6336;RCP4.5;H1;1.4;46;
1135;41.8679;8.7294;RCP4.5;H1;1.4;45;
1136;41.862;8.8251;RCP4.5;H1;1.9;43;
1137;41.856;8.9207;RCP4.5;H1;4.51;41;
1138;41.85;9.0164;RCP4.5;H1;5.46;43;
1139;41.8439;9.112;RCP4.5;H1;0;19;
1140;41.8376;9.2077;RCP4.5;H1;0;7;
1141;41.8313;9.3033;RCP4.5;H1;2.98;51;
1142;41.8249;9.3988;RCP4.5;H1;1.15;68;
1276;41.9509;8.5455;RCP4.5;H1;1.67;46;
1277;41.9452;8.6413;RCP4.5;H1;1.42;45;
1278;41.9394;8.7372;RCP4.5;H1;1.4;45;
1279;41.9335;8.833;RCP4.5;H1;1.56;43;
1280;41.9276;8.9288;RCP4.5;H1;3.17;39;
1281;41.9215;9.0246;RCP4.5;H1;0.55;31;
1282;41.9154;9.1203;RCP4.5;H1;0.72;32;
1283;41.9091;9.216;RCP4.5;H1;0;6;
1284;41.9028;9.3118;RCP4.5;H1;1.4;48;
1285;41.8964;9.4075;RCP4.5;H1;0.97;74;
1420;42.0168;8.649;RCP4.5;H1;1.55;46;
1421;42.011;8.745;RCP4.5;H1;2.04;44;
1422;42.0051;8.8409;RCP4.5;H1;3.24;42;
1423;41.9991;8.9368;RCP4.5;H1;2.88;38;
1424;41.993;9.0327;RCP4.5;H1;0.6;32;
1425;41.9869;9.1286;RCP4.5;H1;0;11;
1426;41.9806;9.2245;RCP4.5;H1;0;7;
1427;41.9743;9.3203;RCP4.5;H1;1.38;49;
1428;41.9679;9.4161;RCP4.5;H1;0.85;75;
1562;42.0941;8.5607;RCP4.5;H1;1.7;45;
1563;42.0883;8.6568;RCP4.5;H1;1.68;45;
1564;42.0825;8.7528;RCP4.5;H1;1.42;43;
1565;42.0766;8.8489;RCP4.5;H1;5.46;42;
1566;42.0706;8.9449;RCP4.5;H1;5.73;43;
1567;42.0646;9.0409;RCP4.5;H1;0.47;31;
1568;42.0584;9.1369;RCP4.5;H1;0;2;
1569;42.0522;9.2329;RCP4.5;H1;0;8;
1570;42.0458;9.3288;RCP4.5;H1;1.43;54;
1571;42.0394;9.4248;RCP4.5;H1;0.86;75;
1572;42.0329;9.5207;RCP4.5;H1;0.9;76;
1637;42.3488;1.9977;RCP4.5;H1;0;0;
1638;42.349;2.0945;RCP4.5;H1;0;0;
1641;42.3493;2.385;RCP4.5;H1;0;5;
