#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h37 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORTX35;NORTR;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;RCP8.5;H1;8.95;63;
281;41.4149;9.0628;RCP8.5;H1;8.12;63;
282;41.4087;9.1577;RCP8.5;H1;7.96;61;
283;41.4025;9.2527;RCP8.5;H1;8.3;63;
422;41.4985;8.8808;RCP8.5;H1;8.03;62;
423;41.4925;8.9759;RCP8.5;H1;7.42;60;
424;41.4864;9.071;RCP8.5;H1;8.16;62;
425;41.4802;9.166;RCP8.5;H1;7.55;59;
426;41.4739;9.261;RCP8.5;H1;7.8;62;
564;41.5759;8.7935;RCP8.5;H1;1.23;52;
565;41.57;8.8888;RCP8.5;H1;1.21;52;
566;41.564;8.984;RCP8.5;H1;1.7;51;
567;41.5579;9.0791;RCP8.5;H1;5.56;48;
568;41.5517;9.1743;RCP8.5;H1;7.42;59;
569;41.5454;9.2694;RCP8.5;H1;7.98;61;
707;41.6474;8.8014;RCP8.5;H1;1.31;49;
708;41.6415;8.8967;RCP8.5;H1;1.42;49;
709;41.6355;8.992;RCP8.5;H1;1.85;50;
710;41.6294;9.0873;RCP8.5;H1;5.02;49;
711;41.6232;9.1826;RCP8.5;H1;5.1;48;
712;41.6169;9.2779;RCP8.5;H1;3.79;67;
849;41.7248;8.7138;RCP8.5;H1;1.23;49;
850;41.719;8.8093;RCP8.5;H1;1.21;49;
851;41.713;8.9047;RCP8.5;H1;1.95;47;
852;41.707;9.0001;RCP8.5;H1;4.23;50;
853;41.7009;9.0955;RCP8.5;H1;4.77;48;
854;41.6946;9.1909;RCP8.5;H1;1.65;42;
855;41.6884;9.2863;RCP8.5;H1;4.5;60;
856;41.682;9.3817;RCP8.5;H1;4.08;67;
992;41.7963;8.7216;RCP8.5;H1;1.15;49;
993;41.7905;8.8171;RCP8.5;H1;1.92;45;
994;41.7845;8.9127;RCP8.5;H1;4.02;52;
995;41.7785;9.0083;RCP8.5;H1;1.73;40;
996;41.7724;9.1038;RCP8.5;H1;0.83;36;
997;41.7661;9.1993;RCP8.5;H1;0.34;34;
998;41.7598;9.2948;RCP8.5;H1;3.44;44;
999;41.7535;9.3902;RCP8.5;H1;3.96;65;
1134;41.8737;8.6336;RCP8.5;H1;1.33;51;
1135;41.8679;8.7294;RCP8.5;H1;1.35;50;
1136;41.862;8.8251;RCP8.5;H1;1.77;49;
1137;41.856;8.9207;RCP8.5;H1;4.42;47;
1138;41.85;9.0164;RCP8.5;H1;5.02;48;
1139;41.8439;9.112;RCP8.5;H1;0;23;
1140;41.8376;9.2077;RCP8.5;H1;0;10;
1141;41.8313;9.3033;RCP8.5;H1;3.1;56;
1142;41.8249;9.3988;RCP8.5;H1;0.77;72;
1276;41.9509;8.5455;RCP8.5;H1;1.42;51;
1277;41.9452;8.6413;RCP8.5;H1;1.3;50;
1278;41.9394;8.7372;RCP8.5;H1;1.25;50;
1279;41.9335;8.833;RCP8.5;H1;1.46;49;
1280;41.9276;8.9288;RCP8.5;H1;2.92;43;
1281;41.9215;9.0246;RCP8.5;H1;0.73;33;
1282;41.9154;9.1203;RCP8.5;H1;1.08;35;
1283;41.9091;9.216;RCP8.5;H1;0;8;
1284;41.9028;9.3118;RCP8.5;H1;1.17;53;
1285;41.8964;9.4075;RCP8.5;H1;0.7;79;
1420;42.0168;8.649;RCP8.5;H1;1.32;51;
1421;42.011;8.745;RCP8.5;H1;1.74;49;
1422;42.0051;8.8409;RCP8.5;H1;2.68;47;
1423;41.9991;8.9368;RCP8.5;H1;2.9;42;
1424;41.993;9.0327;RCP8.5;H1;0.76;35;
1425;41.9869;9.1286;RCP8.5;H1;0;15;
1426;41.9806;9.2245;RCP8.5;H1;0;10;
1427;41.9743;9.3203;RCP8.5;H1;1.17;54;
1428;41.9679;9.4161;RCP8.5;H1;0.77;79;
1562;42.0941;8.5607;RCP8.5;H1;1.7;49;
1563;42.0883;8.6568;RCP8.5;H1;1.7;49;
1564;42.0825;8.7528;RCP8.5;H1;1.42;47;
1565;42.0766;8.8489;RCP8.5;H1;4.73;47;
1566;42.0706;8.9449;RCP8.5;H1;4.67;47;
1567;42.0646;9.0409;RCP8.5;H1;0.6;34;
1568;42.0584;9.1369;RCP8.5;H1;0;2;
1569;42.0522;9.2329;RCP8.5;H1;0;12;
1570;42.0458;9.3288;RCP8.5;H1;1.58;58;
1571;42.0394;9.4248;RCP8.5;H1;0.9;78;
1572;42.0329;9.5207;RCP8.5;H1;0.95;80;
1637;42.3488;1.9977;RCP8.5;H1;0;0;
1638;42.349;2.0945;RCP8.5;H1;0;0;
1641;42.3493;2.385;RCP8.5;H1;0.01;6;
1642;42.3492;2.4818;RCP8.5;H1;0.09;10;
1643;42.349;2.5786;RCP8.5;H1;0.32;12;
1644;42.3488;2.6754;RCP8.5;H1;0.64;21;
1705;42.1656;8.5683;RCP8.5;H1;1.65;50;
1706;42.1599;8.6645;RCP8.5;H1;2.37;45;
1707;42.1541;8.7607;RCP8.5;H1;4.21;48;
1708;42.1482;8.8569;RCP8.5;H1;4.75;45;
1709;42.1422;8.953;RCP8.5;H1;1.35;37;
1710;42.1361;9.0491;RCP8.5;H1;0;8;
1711;42.1299;9.1452;RCP8.5;H1;0;8;
